Date ,Kilometres [km],Amount ($CAD),Gas Price (¢/L),Range
16-Jul-19,120351,$40.00,,
23-Jul-19,120787,$40.00,,436
30-Jul-19,121061,$30.00,108.9,274
30-Jul-19,121389,$20.00,120.9,328
09-Aug-19,121866,$40.00,100.9,477
18-Aug-19,122350,$37.54,94.9,484
01-Sep-19,122830,$36.50,89.9,480
13-Sep-19,123331,$40.00,101.9,501
28-Sep-19,123770,$45.00,98.9,439
10-Oct-19,124206,$40.00,94.9,436
21-Oct-19,124692,$40.00,95.9,486
02-Nov-19,125151,$38.18,89.9,459
12-Nov-19,125542,$34.41,86.9,391
22-Nov-19,125940,$34.50,93.9,398
30-Nov-19,126433,$40.00,99.9,493
11-Dec-19,126860,$40.00,94.9,427
20-Dec-19,127317,$37.33,90.9,457
31-Dec-19,127602,$28.72,91.9,285
10-Jan-20,127975,$37.61,95.9,
20-Jan-20,128316,$38.50,96.9,341
02-Feb-20,128748,$38.18,93.9,432
12-Feb-20,129216,$39.05,90.9,468
18-Feb-20,129430,$19.32,90.9,214
19-Feb-20,129962,$36.98,90.9,532
29-Feb-20,130436,$38.78,93.9,474
10-Mar-20,130921,$36.06,86.9,485
28-Mar-20,131388,$24.49,61.9,467
26-Apr-20,1,$23.94,61.9,
10-May-20,132270,$30.00,78.9,
29-May-20,132750,$36.50,89.9,480
09-Jun-20,133231,$34.84,89.9,481
22-Jun-20,133722,$38.90,97.9,491
30-Jun-20,134223,$39.00,97.9,501
09-Jul-20,134730,$40.00,97.9,507
16-Jul-20,135286,$39.11,96.9,556
23-Jul-20,135636,$20.00,107.9,350
28-Jul-20,136098,$40.25,97.9,462
05-Aug-20,136497,,97.9,399
07-Aug-20,137120,$40.88,97.9,623
15-Aug-20,137641,$37.37,95.9,521
30-Aug-20,138167,$43.44,105.9,526
11-Sep-20,138653,$42.82,105.9,486
23-Sep-20,139207,$52.72,126.9,554
05-Oct-20,139759,$44.55,105.9,552
15-Oct-20,140267,$43.31,104.9,508
25-Oct-20,140753,$44.99,105.9,486
08-Nov-20,141243,$43.77,104.4,490
20-Nov-20,141791,$43.86,104.9,548
03-Dec-20,142184,$43.91,105.9,393
18-Dec-20,142671,$43.70,99.9,487
01-Jan-21,142967,$29.50,98.9,
17-Jan-21,143416,$43.45,102.4,449
29-Jan-21,143872,$45.00,107.9,456
09-Feb-21,144290,$44.56,108.9,418
16-Feb-21,144961,$47.79,113.9,671
28-Feb-21,145084,$46.05,113.9,123
,1,$50.00,,
25-Mar-21,145932,$50.90,118.9,
02-Apr-21,146381,$50.00,,449
13-Apr-21,1,$50.00,121.9,
18-Apr-21,147265,$52.29,121.9,
30-Apr-21,147759,$54.09,127.9,494
22-May-21,148589,$50.00,127.9,830
04-Jun-21,149466,$50.00,127.9,877
18-Jun-21,150415,$55.83,133.9,949
26-Jun-21,150863,$50.00,133.9,448
03-Jul-21,1,$54.33,133.9,
17-Jul-21,151867,$55.26,141.9,
07-Aug-21,152401,$55.00,133.9,534
22-Aug-21,152950,$58.06,133.9,549
28-Aug-21,153307,$33.23,133.9,357
04-Sep-21,1,$30.00,133.9,
08-Sep-21,154165,$52.47,133.9,
18-Sep-21,1,$50.88,133.9,
19-Oct-21,1,$60.00,143.9,
02-Nov-21,157028,$58.92,143.9,
13-Nov-21,157518,$60.00,143.9,490
22-Nov-21,157973,$58.26,143.9,455
08-Dec-21,158433,$59.12,139.9,460
18-Dec-21,158895,$10.00,141.9,462
,158965,$56.12,139.9,70
26-Dec-21,159386,$60.00,139.9,421
06-Jan-22,159759,$58.78,139.9,
17-Jan-22,160198,$56.69,139.9,439
30-Jan-22,1,$50.90,,
14-Feb-22,161164,$60.00,146.9,
26-Feb-22,161576,$60.00,146.9,412
05-Mar-22,162007,$56.18,156.9,431
16-Mar-22,162421,$60.00,167.9,414
26-Mar-22,162862,$60.00,167.9,441
03-Apr-22,163297,$60.00,156.9,435
13-Apr-22,163766,$60.00,154.9,469
21-Apr-22,164208,$60.00,154.9,442
01-May-22,164680,$60.00,154.9,472
07-May-22,165069,$53.06,163.9,389
07-May-22,165456,$42.33,158.9,387
20-May-22,165919,$65.96,169.9,463
,166480,$70.00,171.9,561
24-May-22,166893,$50.22,168.9,413
01-Jun-22,167391,$66.87,169.9,498
03-Jun-22,167851,$60.39,170.9,460
06-Jun-22,168389,$70.00,191.9,538
11-Jun-22,168863,$70.00,189.9,474
30-Jun-22,169291,$70.10,189.9,428
04-Jul-22,169805,$71.76,191.9,514
06-Jul-22,170345,$70.00,189.9,540
31-Jul-22,172543,$64.65,166.9,
31-Jul-22,172543,$64.65,166.9,
01-Aug-22,173061,$58.58,166.9,518
19-Aug-22,173463,$48.39,139.9,402
19-Aug-22,173900,$46.79,141.9,437
10-Sep-22,174816,$58.09,143.9,916
20-Sep-22,175340,$55.80,139.9,524
05-Oct-22,175857,$70.00,172.9,517
15-Oct-22,176403,$65.09,164.9,546
25-Oct-22,176934,$68.74,163.9,531
07-Nov-22,177388,$63.98,154.9,454
21-Nov-22,177865,$52.42,119.9,477
02-Dec-22,178338,$58.09,136.9,473
